OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude
607,DONNELLAN SQUARE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,MANHATTAN,40.82707785,-73.94270307
609,EASTERN PARKWAY LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.66878053,-73.93382659
612,MACDONALD PARK,PARKS,PARKS AND PLAZAS,QUEENS,40.72223725,-73.84680327
618,LOCUST MANOR CIVIC ASSOCIATION,GARDENS,PARKS AND PLAZAS,QUEENS,40.68352142,-73.77389666
623,VETERANS GROVE,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.74264971,-73.87757835
633,CICCARONE PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.85596619,-73.88670438
635,LANETT PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.59970962,-73.7440891
636,SITTING AREA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.65267739,-73.97684249
638,BEACH CHANNEL PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.58207245,-73.84255738
673,MW UNITED ORIENT GRAND LODGE,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.67376586,-73.8873545
677,WALT WHITMAN LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.69448588,-73.97773572
678,PETER CHAHALES PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.7248572,-73.89434937
685,DONGAN HILLS LIBRARY,PUBLIC LIBRARIES,LIBRARIES,STATEN ISLAND,40.59039493,-74.10113836
690,UNITED COMMUNITY CENTERS - E NEW YORK F*,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.66118998,-73.8957631
691,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.62216259,-74.02039942
698,THE FEEDING TREE,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.68596692,-73.94471082
712,ROCK GARDEN PARK,PARKS,PARKS AND PLAZAS,BRONX,40.83528197,-73.88511447
718,PARK OF THE AMERICAS,PARKS,PARKS AND PLAZAS,QUEENS,40.74894585,-73.86177742
727,SEDGWICK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.84949397,-73.91758144
731,RED GATE GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.69374881,-73.94918814
736,AMERICAN TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.7484191,-73.86336143
738,CAUSA FESTIVAL GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.66844518,-73.88937091
739,RUFUS KING PARK,PARKS,PARKS AND PLAZAS,QUEENS,40.70308326,-73.80376407
744,HUMBOLDT PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.70356518,-73.94091019
749,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.62090007,-74.02285558
757,ASTORIA,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.77238055,-73.92872249
762,YORKVILLE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.7736055,-73.95640656
766,KNICKERBOCKER PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.69889142,-73.91870018
768,CATHOLIC WAR VETERANS SQUARE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.6758564,-73.81620295
776,HIGHLAND PARK,PARKS,PARKS AND PLAZAS,BROOKLYN,40.68285326,-73.88782943
778,PARKSIDE PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.86838375,-73.86802899
779,CLASSON TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.69922102,-73.96108141
782,GEORGE WASHINGTON CARVER BOTANICAL GARDEN,GARDENS,PARKS AND PLAZAS,QUEENS,40.69247831,-73.7945776
801,PLAUT TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.75837358,-73.79725536
802,MAPES POOL,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.84592107,-73.88672561
806,OCTAGON PARK,PARKS,PARKS AND PLAZAS,MANHATTAN,40.768097,-73.945696
807,SAUL WEPRIN PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.747712,-73.77624799
812,JUNIPER VALLEY PARK,PARKS,PARKS AND PLAZAS,QUEENS,40.72018377,-73.88042525
821,NEW VISION GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.66609171,-73.88707832
830,OZONE PARK,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.68085831,-73.8464866
867,TRAMWAY PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,MANHATTAN,40.76102561,-73.96436296
